000 |51|04|01|05|06|60|65|81|01|06|08|11|14|
001 |51|10|01|06|18|50|54|71|02|05|08|10|12|
003 |49|08|01|05|18|50|53|72|01|05|07|09|12|
004 |52|09|01|05|18|50|53|72|02|06|09|11|13|
006 |56|10|01|05|15|43|48|72|01|06|08|10|13|
008 |56|17|01|07|18|50|55|71|03|06|09|11|13|
021 |52|12|01|04|18|49|53|71|02|07|09|11|13|
022 |52|07|01|04|15|44|49|71|02|06|08|10|13|
024 |51|07|01|05|18|48|52|72|01|05|07|09|12|
027 |52|12|01|06|18|50|55|71|01|05|08|10|12|
028 |55|06|01|05|18|50|53|71|01|05|08|10|12|
029 |55|12|01|04|18|52|55|71|01|06|08|10|13|
031 |53|13|01|04|18|50|55|70|01|05|08|10|12|
032 |51|14|01|04|18|47|50|71|02|05|07|09|12|
033 |50|17|01|06|18|46|50|71|02|06|08|11|15|
034 |49|14|01|04|15|45|57|71|01|05|07|09|11|
035 |55|07|01|06|18|52|56|72|02|06|08|10|13|
036 |54|11|01|05|18|50|53|72|02|06|08|10|12|
037 |54|08|01|05|18|51|54|72|02|06|08|10|12|
038 |56|10|01|04|18|51|56|72|02|07|10|12|14|
039 |49|14|01|04|18|49|54|70|01|05|07|09|11|
041 |56|09|01|04|18|54|61|72|03|07|09|12|14|
047 |52|08|01|05|18|47|50|72|01|05|07|10|12|
048 |52|09|01|04|18|47|50|72|02|05|08|10|13|
059 |50|15|01|05|18|55|59|72|01|05|07|09|11|
070 |54|05|01|05|18|48|52|72|02|06|08|10|12|
104 |55|22|01|04|18|53|58|72|02|06|08|10|13|
106 |52|12|01|05|18|52|55|71|02|07|09|11|13|
151 |54|06|01|04|18|47|52|71|01|05|07|10|12|
153 |51|09|01|05|18|51|55|72|01|05|08|10|13|
168 |53|05|01|05|18|54|57|71|02|06|08|11|13|
200 |52|06|01|05|18|47|52|71|01|05|07|10|12|
201 |52|11|01|04|18|47|51|71|01|05|07|09|11|
206 |56|14|01|06|18|53|56|72|01|06|08|10|13|
207 |50|04|01|05|18|48|52|71|02|06|08|11|13|
211 |48|11|01|05|18|52|56|71|03|07|09|12|14|
215 |55|06|01|05|18|51|54|71|02|05|08|10|13|
220 |56|09|01|05|18|49|53|71|02|05|08|10|12|
230 |50|12|01|05|18|54|58|71|02|05|08|10|13|
231 |52|12|01|05|18|53|58|72|02|06|08|10|12|
237 |52|07|01|04|18|50|54|71|02|06|09|11|14|
237 |48|03|01|02|14|42|48|65|02|04|06|07|09|
244 |48|14|01|04|18|49|53|71|03|06|09|11|13|
254 |51|09|01|05|18|53|56|71|01|05|08|11|14|
275 |48|03|01|02|14|42|49|65|02|04|06|07|08|
282 |56|12|01|05|18|50|54|71|02|06|08|10|13|
291 |50|12|01|05|18|47|52|71|02|06|08|10|12|
294 |48|11|01|05|18|52|56|71|02|05|07|10|12|
302 |51|07|01|05|18|47|51|71|02|06|08|10|13|
308 |52|11|01|06|18|47|50|72|02|06|08|10|12|
320 |54|06|01|04|18|48|51|72|02|05|08|10|13|
334 |54|06|01|04|18|54|57|71|02|06|08|10|12|
341 |48|03|01|02|14|42|48|64|01|04|06|08|09|
346 |54|12|01|05|18|54|57|71|02|05|08|10|12|
347 |49|05|01|02|14|43|49|64|01|04|06|07|09|
351 |52|14|01|05|18|55|58|72|01|05|07|10|12|
353 |52|07|01|05|18|53|58|71|02|05|07|10|12|
356 |52|11|01|04|18|47|51|71|01|05|07|10|12|
369 |47|07|01|05|18|51|55|71|02|06|08|10|12|
370 |52|06|01|05|18|47|50|71|01|05|07|10|12|
372 |51|07|01|04|18|46|49|71|02|06|08|11|13|
376 |54|07|01|04|18|54|58|72|02|06|08|10|12|
388 |46|09|01|06|18|48|52|72|02|06|09|11|14|
389 |52|06|01|05|18|53|58|72|02|07|09|12|14|
392 |49|12|01|05|18|54|58|72|02|05|07|11|13|
394 |51|05|01|05|18|51|55|71|01|05|07|09|13|
399 |54|12|01|04|18|52|57|72|01|05|07|10|12|
409 |48|05|01|02|15|44|49|66|02|04|06|07|09|
415 |54|12|01|06|18|50|54|72|03|07|10|12|14|
420 |54|08|01|04|18|50|54|72|02|06|08|10|13|
422 |52|17|03|07|18|52|58|72|03|06|08|11|13|
424 |50|05|01|04|18|47|52|71|01|06|09|11|13|
434 |56|08|01|05|18|50|54|72|02|06|09|11|13|
453 |54|12|01|05|18|51|56|72|03|07|10|12|14|
456 |48|11|01|05|18|47|50|71|02|06|08|10|12|
464 |51|14|01|05|18|52|55|72|02|06|09|11|13|
472 |53|12|01|05|18|50|53|71|02|06|09|10|14|
477 |55|08|01|05|18|52|57|72|03|07|09|11|14|
479 |48|05|01|02|14|42|49|64|01|04|05|07|08|
483 |52|08|01|05|18|47|50|71|02|05|07|09|11|
487 |52|17|01|05|18|48|52|72|02|06|08|11|13|
494 |51|09|01|05|18|50|53|71|02|06|08|10|13|
602 |56|10|01|03|18|47|52|66|02|05|07|10|13|
603 |56|10|01|02|18|47|52|65|02|05|08|11|14|
607 |51|09|01|05|18|53|56|72|02|05|08|10|12|
610 |55|15|01|05|18|53|58|71|01|06|08|10|12|
630 |49|05|01|05|18|47|52|71|01|06|08|10|13|
641 |48|05|01|02|14|42|49|64|01|03|05|07|08|
718 |51|07|01|05|18|48|53|71|01|06|08|10|13|
995 |50|04|01|03|16|49|54|70|01|04|06|09|10|
996 |49|05|01|03|17|50|55|71|02|04|06|09|11|
F  ;
